ThreadCount,ContentionLevel,AtomicTime(ns),SynchronizedTime(ns),SpeedupRatio,Winner
1,1,949520,1313500,1.38,Atomic
1,2,402980,616080,1.53,Atomic
1,3,283400,469940,1.66,Atomic
1,4,236980,349220,1.47,Atomic
1,5,237040,329280,1.39,Atomic
1,6,192680,289460,1.50,Atomic
1,7,208380,263340,1.26,Atomic
1,8,229500,290520,1.27,Atomic
1,9,183400,238940,1.30,Atomic
1,10,207040,241460,1.17,Atomic
2,1,1642120,6065900,3.69,Atomic
2,2,939920,2102060,2.24,Atomic
2,3,629020,1540580,2.45,Atomic
2,4,436580,1283640,2.94,Atomic
2,5,408720,802920,1.96,Atomic
2,6,312920,754000,2.41,Atomic
2,7,212560,582520,2.74,Atomic
2,8,262140,627980,2.40,Atomic
2,9,203940,509740,2.50,Atomic
2,10,191400,366540,1.92,Atomic
4,1,4763780,5477880,1.15,Atomic
4,2,2552780,2618860,1.03,Atomic
4,3,1529680,1799340,1.18,Atomic
4,4,1141060,1365680,1.20,Atomic
4,5,863800,1057700,1.22,Atomic
4,6,645200,1231340,1.91,Atomic
4,7,566940,799260,1.41,Atomic
4,8,495300,692820,1.40,Atomic
4,9,492480,624980,1.27,Atomic
4,10,403380,578660,1.43,Atomic
6,1,8222360,7389740,0.90,Synchronized
6,2,3425040,4882320,1.43,Atomic
6,3,2688200,3580420,1.33,Atomic
6,4,1671720,2069860,1.24,Atomic
6,5,1603940,1554060,0.97,Synchronized
6,6,1345360,1309420,0.97,Synchronized
6,7,1023860,1129500,1.10,Atomic
6,8,930060,989460,1.06,Atomic
6,9,768640,928300,1.21,Atomic
6,10,1026320,795620,0.78,Synchronized
8,1,10874580,9670960,0.89,Synchronized
8,2,5090740,4589680,0.90,Synchronized
8,3,3533140,3329520,0.94,Synchronized
8,4,2741540,2447140,0.89,Synchronized
8,5,2270140,2044180,0.90,Synchronized
8,6,1643680,1958960,1.19,Atomic
8,7,1532320,1441420,0.94,Synchronized
8,8,1391600,1250940,0.90,Synchronized
8,9,1260640,1147580,0.91,Synchronized
8,10,1065740,998880,0.94,Synchronized
10,1,13012000,11809940,0.91,Synchronized
10,2,6587220,5815620,0.88,Synchronized
10,3,4266400,4015660,0.94,Synchronized
10,4,3253780,3435960,1.06,Atomic
10,5,2637300,2432100,0.92,Synchronized
10,6,2249560,2066300,0.92,Synchronized
10,7,1810180,2100060,1.16,Atomic
10,8,1475020,1651740,1.12,Atomic
10,9,1463920,1536560,1.05,Atomic
10,10,1294520,1276280,0.99,Synchronized
12,1,14262960,14446680,1.01,Atomic
12,2,7800860,7346760,0.94,Synchronized
12,3,5177680,4954000,0.96,Synchronized
12,4,4087220,3772760,0.92,Synchronized
12,5,3137660,2954100,0.94,Synchronized
12,6,2647440,2447820,0.92,Synchronized
12,7,2212140,2153640,0.97,Synchronized
12,8,1995140,1890360,0.95,Synchronized
12,9,1780020,2023900,1.14,Atomic
12,10,1575300,1495060,0.95,Synchronized
