id,no,code,title
lab001,1,SANO010,cold start latency
lab002,2,SANO017,在阿里云真的做一次灰度。
lab003,3,SANO017,alex xu 和 software engineer at google 如何讨论灰度？
lab004,4,SANO017,灰度的业务价值？ 灰度和AB-Test的异同？ CITI015 STMT024 你用过什么Linux命令，你知道ulimit命令吗 你了解的Linux命令吗？ 你的回答： “是的，我在后端开发和运维中经常使用各种Linux命令。让我按类别简单分享一些常用命令和实际应用。 首先，文件和目录管理：ls -la 查看详细列表，cd 切换目录，cat 和 tail -f 监控日志，比如调试服务时实时看错误；find 和 grep 搜索文件或内容，比如 grep -r 'error' 检查日志。 文本处理：vi 编辑文件，sed 和 awk 处理数据，比如 sed 's/old/new/g' 批量替换，awk '{print $1}' 提取列；uniq 去重，常跟 sort 一起用。 进程管理：ps aux | grep 查看进程，top 或 htop 监控资源，kill -9 终止，nohup & 后台运行服务。 网络和系统：curl 测试API，ss -tuln 检查端口，df -h 查看磁盘，free -m 看内存。 至于ulimit，我很熟悉，它是shell命令，用于设置进程资源限制，避免系统崩溃。在高并发Java服务中，我常用 ulimit -n 65535 增加文件描述符上限，防止 'too many open files' 错误；-s unlimited 优化栈大小。永久设置在 /etc/security/limits.conf 文件中，并在Docker中通过ulimits配置。这在生产环境中帮我优化了不少性能问题。 总之，这些命令在CI/CD管道、容器化和故障排除中都很关键。如果需要，我可以深入某个例子。”
lab005,5,CITI017; STMT026,观察一次pod的启动。 CITI018* 什么是ingress？有何业务价值？枚举应用场景？ Ingress作为Kubernetes流量管理的核心组件，在现代云原生架构中扮演着关键角色，是实现服务网格、API网关、负载均衡等功能的重要基础设施。 最佳实践建议 1. 选择合适的Ingress Controller : 根据需求选择Nginx、Traefik、Istio Gateway等 2. SSL证书自动化 : 使用cert-manager实现Let's Encrypt自动证书管理 3. 监控和日志 : 配置Ingress访问日志和性能监控 4. 安全加固 : 实施WAF规则、IP白名单、OAuth认证等 5. 高可用部署 : Ingress Controller多副本部署，避免单点故障
lab006,6,CITI017; STMT026,有了ingress，容器化部署的 spring boot 后端微服务之间还需要curl ip:port/path 或者 domain/path 互访吗？（domain可能是公司内网SF区或者DMZ区可用的域名）
lab007,7,STMT026,总结docker-compose搭建开发环境、k9s连接测试环境看日志的技巧和配置。
lab008,8,WDKJ027,"int,long,BigDecimal。单线程到 fork-join。如何估算1000万个数最大的JVM内存占用？基于估算，如何决策是否考虑在计算中使用外存（outter memory）？"
lab009,9,HUAW008; MEIT002,draw uml
lab010,10,HUAW008; MEIT002,summary oc_memo
lab011,11,MEIT003,复现 投产评审表的处理。
lab012,12,MEIT004,如果重来一次，如何用架构设计来解决这些问题。
lab013,13,MEIT005,discuss DDD/cleanCode in this senario
lab014,14,MEIT006,复现 UserUtil.getUserInfo() MEIT007 你们CRM的数据量是多少？ 总的来说，这是一个典型的服务于特定垂直领域B2B业务的系统，其特点不是海量的互联网用户并发，而是中等规模数据下的高业务逻辑复杂度和对数据一致性的强要求。我们的技术架构和优化策略都是紧密围绕这些特点展开的。 > 第一句话就给系统定性：“B2B业务”、“中等规模”、“高业务逻辑复杂度”、“强数据一致性”。这立刻将面试官的预期从“淘宝双十一”拉到了一个他能理解和共鸣的专业领域。 主动定义“特点”，把“并发不高”这个看似的弱点，转化为架构选型的合理依据。 具体到数据指标上： 用户规模： 核心活跃用户在200人左右，他们是业务运营的关键角色，如销售和管理层。总用户池在400到800人之间。 核心实体数据量： 客户（Account）信息大约是6万多条。 每个客户会关联多个商机（Opportunity），商机信息的总量在十几万级别。 而最核心、增长最快的交易流水（Revenue/Transaction）数据，目前已经累积了超过40万笔，并且以稳定的速度每日增长。 系统负载： 核心业务接口的常规QPS在10到20之间。这个并发量虽然不高，但单次请求背后可能涉及复杂的数据库事务和多表关联查询。”
lab015,15,MEIT010,对账系统设计：跑批对账 vs 实时对账
lab016,16,MEIT011,错了之后，需要手工curl 上游，获取JSON，阅读代码，结合当时下游的get 请求返回日志，对比当时的错误发生crm。通常都不是。#沉疴#分布式事务
lab017,17,MEIT012,BI 基于Hive搜集下游业务系统数据。暴露Restful接口供下游制度查询。下游通过自定义定时任务把数据拉倒自己的库里，或者同步查询。这种设计糟糕的根源是什么？从数学上的in-consistency会发生在哪里了？
lab018,18,MEIT012,c4model 绘制系统架构图
lab019,19,WDKJ024,siruis client jar注入原理
lab020,20,WDKJ024,fps 分片上传下载 复现。
lab021,21,JDON014,我做个一个chatbox，后端 spring boot 做过websocket的endpoint，使用 activemq 在B/S转发chat message
lab022,22,JDON014,zendesk chatbot platform integrate
lab023,23,JDON015,电话小结 POST
lab024,24,XGDU003,PaaS 的核心 dashbaord 配置 subsystem url跳转。 其中 sub system的鉴权设计需要关注（token请求解密用户信息）
lab025,25,LINX005,同步多线程并发POST的最佳编排实践
