id,seq,path,qid,desc,,
lab001,1,E:\Pictures\learn\interview-complete\cicd\cicd.md:18,SANO010,lab: cold start latency,,
lab002,2,E:\Pictures\learn\interview-complete\cicd\cicd.md:29,SANO011,lab: 学习写DSL的最小知识 groovy kotlin,,
lab003,3,E:\Pictures\learn\interview-complete\cicd\cicd.md:53,SANO016,lab: 复盘总结例子。更像是“你印象深刻的bug是什么/你最有难度的一次生产问题排查经历是什么？,,
lab004,4,E:\Pictures\learn\interview-complete\cicd\cicd.md:54,SANO016,lab: 如果在云原生cloudnative环境中，怎么掺杂讲述？过往的例子尽管是微服务，存在上下游，哪怕是K8s部署的分布式应用，但是问题本身或者排查手段涉及“CICD”的话题似乎不多（我这我不知道算不算）,,
lab005,5,E:\Pictures\learn\interview-complete\cicd\cicd.md:62,SANO017,lab: 在阿里云真的做一次灰度。,,
lab006,6,E:\Pictures\learn\interview-complete\cicd\cicd.md:63,SANO017,lab: alex xu 和 software engineer at google 如何讨论灰度？,,
lab007,7,E:\Pictures\learn\interview-complete\cicd\cicd.md:64,SANO017,lab: 灰度的业务价值？ 灰度和AB-Test的异同？,,
lab008,8,E:\Pictures\learn\interview-complete\cicd\cicd.md:103,CITI016,lab: 观察一次pod的启动。,,
lab009,9,E:\Pictures\learn\interview-complete\cicd\cicd.md:117,CITI016,lab: 有了ingress，容器化部署的 spring boot 后端微服务之间还需要curl ip:port/path 或者 domain/path 互访吗？（domain可能是公司内网SF区或者DMZ区可用的域名）,,
lab010,10,E:\Pictures\learn\interview-complete\cicd\cicd.md:159,STMT026,lab: 总结docker-compose搭建开发环境、k9s连接测试环境看日志的技巧和配置。,,
lab011,11,E:\Pictures\learn\interview-complete\datastructure\datastructure.md:46,WDKJ027,"lab: int,long,BigDecimal。单线程到 fork-join。如何估算1000万个数最大的JVM内存占用？基于估算，如何决策是否考虑在计算中使用外存（outter memory）？",,
lab012,12,E:\Pictures\learn\interview-complete\db\mongo.md:29,WDKJ028,lab: spring data mogodb 构建一个MVP(minimum viable product),,
lab013,13,E:\Pictures\learn\interview-complete\db\mysql.md:28,WDKJ028,lab: 深分页实验。PageHelper深分页劣化benckmark.,,
lab014,14,E:\Pictures\learn\interview-complete\db\mysql.md:29,WDKJ028,lab:你怎么证明 dmbs的处理方式会是“传统的LIMIT X OFFSET Y查询，数据库需要扫描并跳过Y条记录，然后才开始返回X条记录。” ,,
lab015,15,E:\Pictures\learn\interview-complete\db\mysql.md:30,WDKJ028,lab: 如果主键无序uuid/snowfalke 又如何处理,,
lab016,16,E:\Pictures\learn\interview-complete\db\mysql.md:31,WDKJ028,"lab: pagehelper, spring-data-jpa 又如何实现深分页优化。",,
lab017,17,E:\Pictures\learn\interview-complete\db\mysql.md:49,WDKJ028,lab: 如何证明MVCC在工作。不懂MVCC会遇到哪些问题。,,
lab018,18,E:\Pictures\learn\interview-complete\db\mysql.md:89,WDKJ028,lab: 不改表结构，如何优化？,,
lab019,19,E:\Pictures\learn\interview-complete\db\mysql.md:476,ALIJ011,lab: 覆盖索引 vs 联合索引。覆盖索引的错误用法。,,
lab020,20,E:\Pictures\learn\interview-complete\db\mysql.md:524,ZTFU022,lab: 如何观测到dbms层面回表的发生,,
lab021,21,E:\Pictures\learn\interview-complete\db\postgres.md:14,KCZN002,lab: 根据高观点下的差异，性能、部署、迁移、集群、分库分表等选型逻辑。,,
lab022,22,E:\Pictures\learn\interview-complete\experience\cimb.md:7,XGDU002,lab: 本地复现。Spring Boot 下载接口 Range设置。,,
lab023,23,E:\Pictures\learn\interview-complete\experience\cra.md:19,XXWJ002,lab: cra 的上线材料整理。,,
lab024,24,E:\Pictures\learn\interview-complete\experience\crm.md:16,XXWJ002,lab: draw uml,,
lab025,25,E:\Pictures\learn\interview-complete\experience\crm.md:17,XXWJ002,lab: summary oc_memo,,
lab026,26,E:\Pictures\learn\interview-complete\experience\crm.md:31,MEIT003,lab: 复现 投产评审表的处理。,,
lab027,27,E:\Pictures\learn\interview-complete\experience\crm.md:47,MEIT004,lab: 如果重来一次，如何用架构设计来解决这些问题。,,
lab028,28,E:\Pictures\learn\interview-complete\experience\crm.md:62,MEIT005,lab: discuss DDD/cleanCode in this senario,,
lab029,29,E:\Pictures\learn\interview-complete\experience\crm.md:78,MEIT006,lab: 复现 UserUtil.getUserInfo(),,
lab030,30,E:\Pictures\learn\interview-complete\experience\crm.md:134,MEIT010,lab: 对账系统设计：跑批对账 vs 实时对账,,
lab031,31,E:\Pictures\learn\interview-complete\experience\crm.md:146,MEIT011,lab: 错了之后，需要手工curl 上游，获取JSON，阅读代码，结合当时下游的get 请求返回日志，对比当时的错误发生crm。通常都不是。#沉疴#分布式事务,,
lab032,32,E:\Pictures\learn\interview-complete\experience\crm.md:155,MEIT012,lab: BI 基于Hive搜集下游业务系统数据。暴露Restful接口供下游制度查询。下游通过自定义定时任务把数据拉倒自己的库里，或者同步查询。这种设计糟糕的根源是什么？从数学上的in-consistency会发生在哪里了？,,
lab033,33,E:\Pictures\learn\interview-complete\experience\crm.md:156,MEIT012,lab: c4model 绘制系统架构图,,
lab034,34,E:\Pictures\learn\interview-complete\experience\crm.md:180,XXWJ004,lab: 这种架构有没有术语来形容？优劣如何评价。,,
lab035,35,E:\Pictures\learn\interview-complete\experience\crm.md:181,XXWJ004,lab: tenant_id 需要补充在mybatis xml的每一个<where>条件中，测试和调试都很困难。如何优化。,,
